bdf5f667-9a6f-483e-a91f-40b8f0ceec95,U2,439.68,Uber,travel,London, UK,2026-02-27T01:07:47
4e23d2eb-e14a-4db1-86c3-f83d779d6809,U2,180.27,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:08:17
266b08eb-22fc-47b7-935d-0fd5a5087538,U1,248.01,Nike,shopping,"Los Angeles, CA",2026-02-27T01:08:22
9c698cdd-6381-416d-93aa-207541c29581,U1,13.69,Amazon,shopping,"London, UK",2026-02-27T01:08:27
08c9a9d1-3bf2-49c5-aef4-f738f1b033f9,U2,186.9,Airtel,utilities,"New York, NY",2026-02-27T01:08:32
b4acf27b-8159-40d5-b5f1-ce8a9e70837b,U3,127.1,Big Basket,groceries,"Paris, FR",2026-02-27T01:08:37
51cbfc77-6449-449f-ad0d-7a239ce9470a,U3,336.68,Amazon,shopping,"Los Angeles, CA",2026-02-27T01:08:42
e5ee7210-80ea-4c23-89d2-521f6ad843c4,U2,259.39,MakeMyTrip,travel,"London, UK",2026-02-27T01:08:47
f7cb6d87-e930-44f1-9bcd-fde254be7591,U1,182.04,Uber,travel,"London, UK",2026-02-27T01:08:52
2e1c83ea-37fe-435b-8163-990f79336e37,U2,428.85,PVR Cinemas,entertainment,"New York, NY",2026-02-27T01:08:57
74edf63f-25bf-4580-b4e6-e2fee5a8f6f6,U1,150.02,PVR Cinemas,entertainment,"Paris, FR",2026-02-27T01:09:02
9f392857-f73c-4b16-9ff1-efeb7f63a1d5,U3,269.87,Amazon,shopping,"London, UK",2026-02-27T01:09:07
545b47eb-fec6-4192-9ba6-983e663a5359,U3,177.85,Electricity Board,utilities,"Paris, FR",2026-02-27T01:09:12
24e78e3c-ece3-4fd3-85e2-2f285f573c8e,U1,98.36,Airtel,utilities,"Los Angeles, CA",2026-02-27T01:09:17
2751c6e6-4a33-4959-a233-d22b9d6f542e,U1,365.31,Binance,crypto,"Paris, FR",2026-02-27T01:09:22
4456f119-4117-43e5-92f7-a05b0fd37af7,U2,82.69,Binance,crypto,"Paris, FR",2026-02-27T01:09:27
779660fd-fb7d-4685-9a4b-d11173633a55,U1,212.85,Amazon,shopping,"Paris, FR",2026-02-27T01:09:32
3ba4e23e-b10a-4f32-9d41-4da7d8956ad9,U3,177.85,Binance,crypto,"Tokyo, JP",2026-02-27T01:09:37
d0242567-3d10-4a73-b8f4-029db49a3c3a,U3,140.99,Big Basket,groceries,"London, UK",2026-02-27T01:09:42
f1dccaf1-699c-43b5-9242-8ef41b9c78c5,U1,453.43,Binance,crypto,"New York, NY",2026-02-27T01:09:47
1e281ba8-db54-423a-a1eb-067ec4c6c1e7,U3,473.65,Binance,crypto,"New York, NY",2026-02-27T01:09:52
03038d92-7002-457f-a520-b48cfb5d47ab,U1,421.37,Amazon,shopping,"Tokyo, JP",2026-02-27T01:09:57
0ffff46c-044b-4592-a700-c6beb23407cc,U2,155.89,PVR Cinemas,entertainment,"Los Angeles, CA",2026-02-27T01:10:02
1837ba29-e0bd-422a-89af-14496758db99,U1,447.29,Airtel,utilities,"London, UK",2026-02-27T01:10:07
e8e5f7da-4369-4c8e-9041-04679db85a29,U2,321.24,PVR Cinemas,entertainment,"London, UK",2026-02-27T01:10:12
ffe3bad4-9419-4947-b50e-25e0a863a7cd,U1,32.09,PVR Cinemas,entertainment,"Paris, FR",2026-02-27T01:10:17
f2449fe2-40f1-49e8-b3a6-24cf0a7b15af,U2,112.95,PVR Cinemas,entertainment,"New York, NY",2026-02-27T01:10:22
221abff2-a53a-462e-975d-4a5005f38d74,U1,382.78,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:10:27
f8b2e8fc-0ee3-4b1a-b965-0b5f8b1de369,U1,428.58,Amazon,shopping,"Tokyo, JP",2026-02-27T01:10:32
0f738414-2914-420b-be2e-213947501cba,U2,47.82,Nike,shopping,"Los Angeles, CA",2026-02-27T01:10:37
45c7e663-66fb-4bc9-bccc-65125c0eb6c2,U2,280.51,MakeMyTrip,travel,"Los Angeles, CA",2026-02-27T01:10:42
9bf1d5dd-4f75-4c74-a74d-88d72ed3a86d,U2,214.07,Amazon,shopping,"Tokyo, JP",2026-02-27T01:10:47
cb6bc704-8891-4ba8-adc5-34ca09f990f4,U3,2278.29,Amazon,shopping,"Paris, FR",2026-02-27T01:10:52
6e43bc2a-3ff4-4f12-964f-9e46a5fb3bd5,U1,334.92,Big Basket,groceries,"Tokyo, JP",2026-02-27T01:10:57
570c7f3f-c2ee-4a59-abac-7b630c052127,U1,466.1,Amazon,shopping,"London, UK",2026-02-27T01:11:02
6417338d-168e-410a-a52a-b58ca8044512,U2,97.44,PVR Cinemas,entertainment,"Los Angeles, CA",2026-02-27T01:11:07
5a7cf14c-0d7a-4417-9770-0a21bcc24479,U2,262.7,Netflix,entertainment,"London, UK",2026-02-27T01:11:12
f9567a07-fc5e-4492-9b9a-0c2b2075ec64,U3,327.59,Binance,crypto,"Paris, FR",2026-02-27T01:11:17
65bed8cc-6cd4-4a9c-bbcf-f155d217a213,U1,238.2,Uber,travel,"New York, NY",2026-02-27T01:11:22
07aa492c-5f13-4431-b5f0-9c0165934c2e,U2,243.37,Amazon,shopping,"Los Angeles, CA",2026-02-27T01:11:27
90e8db32-4e9c-4952-9177-bb749ad5761e,U3,173.66,Electricity Board,utilities,"Los Angeles, CA",2026-02-27T01:11:32
ff2e0173-b6c5-468a-b1ec-271640d9e691,U2,57.43,Binance,crypto,"London, UK",2026-02-27T01:11:37
5acc7000-1196-400e-b507-68901a719f81,U1,107.76,MakeMyTrip,travel,"London, UK",2026-02-27T01:11:42
3688607a-d868-4457-8038-057f8c41c526,U2,4317.44,Big Basket,groceries,"New York, NY",2026-02-27T01:11:47
6a941b11-f429-4b06-bff5-8d283ac98ef4,U3,92.67,MakeMyTrip,travel,"New York, NY",2026-02-27T01:11:52
51742d6c-9137-49fb-baba-a4490ad248cf,U2,494.1,Binance,crypto,"Paris, FR",2026-02-27T01:11:57
dbcfe3af-8da6-44f8-a1e3-46a42a7dbd7d,U2,200.8,PVR Cinemas,entertainment,"Tokyo, JP",2026-02-27T01:12:02
b0df1fab-ef09-4335-9310-8e87bb92dd01,U3,414.73,Electricity Board,utilities,"London, UK",2026-02-27T01:12:07
7303333e-dee0-43e2-9e5c-4076cda6e9c9,U3,44.58,Airtel,utilities,"London, UK",2026-02-27T01:12:12
37373350-a5e7-4160-8f6e-a5d2f33d9ddd,U1,302.22,Nike,shopping,"London, UK",2026-02-27T01:12:17
4bc7647d-9412-4f13-8462-5df390c903b9,U1,378.42,Big Basket,groceries,"London, UK",2026-02-27T01:12:22
72eadf05-c513-498f-924f-62cb890d293e,U1,3866.92,Netflix,entertainment,"London, UK",2026-02-27T01:12:27
8402f42e-8012-48a9-a8dc-940ccbe23f84,U1,2490.07,Amazon,shopping,"Tokyo, JP",2026-02-27T01:12:32
ecc5f98b-0d0c-4d4d-a65f-350b0e5f2b2d,U3,408.36,Airtel,utilities,"London, UK",2026-02-27T01:12:37
96efec59-d494-4b8a-83c8-f6f0003c289d,U2,185.43,Binance,crypto,"Tokyo, JP",2026-02-27T01:12:42
bd1f3217-0849-40c5-a22c-d82324c8ccb9,U2,36.75,Electricity Board,utilities,"London, UK",2026-02-27T01:12:47
70863820-6b7b-4f61-bb60-975b0e9f0f4c,U1,205.55,Big Basket,groceries,"New York, NY",2026-02-27T01:12:52
9b0da4f8-ef6d-461c-be24-6e6514450ae8,U2,232.56,Airtel,utilities,"Los Angeles, CA",2026-02-27T01:12:57
a56c2b96-8cc3-4a9c-b69d-75c1e201274c,U3,72.83,PVR Cinemas,entertainment,"Paris, FR",2026-02-27T01:13:02
61b73a44-5ac9-434b-98c4-23397abc7e84,U1,253.06,MakeMyTrip,travel,"Paris, FR",2026-02-27T01:13:07
4d88b97d-6d43-4175-87f6-b29f47c02833,U2,67.1,Airtel,utilities,"Los Angeles, CA",2026-02-27T01:13:12
7ee629d4-89f1-46f4-a8c3-2b8e61b4969e,U1,268.13,Uber,travel,"Paris, FR",2026-02-27T01:13:17
271143c0-2b5f-4ba3-a5a3-2d9e49c16bb3,U2,393.5,Uber,travel,"New York, NY",2026-02-27T01:13:22
563352e4-c94d-4bff-b656-d3241638e7cc,U3,250.87,PVR Cinemas,entertainment,"London, UK",2026-02-27T01:13:27
13a3cdbe-c34e-4611-987e-aae6739d95b8,U1,163.49,MakeMyTrip,travel,"London, UK",2026-02-27T01:13:32
95803ac1-9ebc-4892-881e-5da66195118f,U2,123.39,PVR Cinemas,entertainment,"Tokyo, JP",2026-02-27T01:13:37
d0492276-3e22-4d45-bff7-bb8bb6e84457,U3,13.4,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:13:42
96b8dfa5-0e4a-4ccf-83c3-713f1d17984b,U3,73.81,PVR Cinemas,entertainment,"Tokyo, JP",2026-02-27T01:13:47
f9d20b7c-d393-4f8e-b337-f146c7b8534e,U1,281.86,Electricity Board,utilities,"London, UK",2026-02-27T01:13:52
e4704c65-8bb7-4b68-b133-e57eb50fe0fd,U1,265.56,Uber,travel,"New York, NY",2026-02-27T01:13:57
c23ad731-fde5-4e36-83b7-a6d07c7570b6,U2,2305.68,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:14:02
d3197441-fb5a-4620-8a1f-c9df7aaca37f,U3,299.39,Nike,shopping,"London, UK",2026-02-27T01:14:07
cc09769f-ae70-46ae-a056-26a2684009ca,U3,51.42,Nike,shopping,"London, UK",2026-02-27T01:14:12
25f74771-cd80-4309-8161-3c45a946bd7e,U3,52.9,Nike,shopping,"Paris, FR",2026-02-27T01:14:17
ebe41acf-74cd-4e98-b447-1441585b7f59,U2,163.15,Big Basket,groceries,"London, UK",2026-02-27T01:14:22
ececbdbe-9055-42c6-8ff4-6e93673f0fa6,U3,4773.16,Nike,shopping,"Tokyo, JP",2026-02-27T01:14:27
2603bf3c-8e85-4927-a4f5-905005dd63c0,U1,229.88,Airtel,utilities,"Tokyo, JP",2026-02-27T01:14:32
c4408bb6-8b68-4c6f-bf92-692f37b4755b,U1,17.29,Nike,shopping,"Paris, FR",2026-02-27T01:14:37
8cec8f40-3043-4ff0-8e59-bc357b7900a0,U3,325.53,Nike,shopping,"Paris, FR",2026-02-27T01:14:42
c61460e9-69d6-4fe5-8336-227f90d9d773,U1,291.12,Binance,crypto,"Paris, FR",2026-02-27T01:14:47
57511b92-688d-4a58-a0f9-ff0867b71768,U3,176.78,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:14:52
4aa50a0a-e63f-4658-8e5b-882e6b6dbbd4,U3,392.65,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:14:57
7e01f379-b610-4a87-ab88-59e308a669ab,U2,32.1,Big Basket,groceries,"Los Angeles, CA",2026-02-27T01:15:02
c780809c-ff47-43f1-9945-2746fc136237,U2,486.11,PVR Cinemas,entertainment,"London, UK",2026-02-27T01:15:07
cafa5445-5e28-4138-94f9-117aa7a2d401,U3,2737.55,Nike,shopping,"London, UK",2026-02-27T01:15:12
1468fdff-a663-49a5-b34c-89ed49079e2a,U2,361.64,Binance,crypto,"London, UK",2026-02-27T01:15:17
4adf9bec-be72-4c59-8482-c4404c1aa912,U2,105.12,Big Basket,groceries,"New York, NY",2026-02-27T01:15:22
e0433c2e-1f58-46d3-99f8-97bb2d85afd7,U3,229.99,Amazon,shopping,"Los Angeles, CA",2026-02-27T01:15:27
0b00a336-8bb7-40af-8540-bc2ff466cc6b,U3,184.54,Uber,travel,"Los Angeles, CA",2026-02-27T01:15:32
cead765d-6561-468e-b33c-0641d4298223,U1,214.19,Big Basket,groceries,"London, UK",2026-02-27T01:15:37
b355a7f2-7015-4278-ac10-9366bea7876d,U1,254.17,MakeMyTrip,travel,"Paris, FR",2026-02-27T01:15:42
eb2f11a3-0d73-4efd-8812-9a331deceed1,U2,299.87,Electricity Board,utilities,"New York, NY",2026-02-27T01:15:47
dc685b56-e832-46cb-a623-4a5702594b42,U1,76.09,Nike,shopping,"Los Angeles, CA",2026-02-27T01:15:52
44ce3cf5-2037-4395-a99d-efb51ecb9962,U1,421.67,Nike,shopping,"Paris, FR",2026-02-27T01:15:57
2fe4e421-5c80-42d0-9e58-bff0cdc68bfc,U2,470.36,Airtel,utilities,"Tokyo, JP",2026-02-27T01:16:02
1f861c86-504c-4172-9644-add680c8948b,U2,84.01,Netflix,entertainment,"New York, NY",2026-02-27T01:16:07
f2851106-d717-45b6-9f63-d287643720ee,U1,295.92,Electricity Board,utilities,"New York, NY",2026-02-27T01:16:12
854c2b9a-3d1a-4897-a9a4-4a67a99757b4,U3,18.64,Big Basket,groceries,"Tokyo, JP",2026-02-27T01:16:17
f52e5edb-0bce-4db0-89f7-fff655f75942,U2,186.2,Netflix,entertainment,"New York, NY",2026-02-27T01:16:22
12194b5e-1faa-460d-9b3d-1db75172096a,U2,467.16,Big Basket,groceries,"New York, NY",2026-02-27T01:16:27
25030f3e-6636-4883-88ba-c47fe677bd9f,U1,79.11,Big Basket,groceries,"London, UK",2026-02-27T01:16:32
c34385c4-4e2d-4bfa-a877-70a574f2928e,U2,2840.09,Nike,shopping,"New York, NY",2026-02-27T01:16:37
bd641b80-bdaf-47bd-9bd3-4645a154087f,U2,196.03,Nike,shopping,"Paris, FR",2026-02-27T01:16:42
674eb9cf-3e79-4e77-bda7-f63f72e5c99c,U1,13.0,Binance,crypto,"Tokyo, JP",2026-02-27T01:16:47
c69c9a5e-65eb-4724-83bb-fc607a55b6c6,U1,443.15,Amazon,shopping,"London, UK",2026-02-27T01:16:52
1b3f6511-6108-4263-a9af-0dcff6027bf6,U1,297.53,Amazon,shopping,"Tokyo, JP",2026-02-27T01:16:57
8467c7b3-37be-46a5-8518-a68ca401d229,U2,286.83,Amazon,shopping,"Paris, FR",2026-02-27T01:17:02
205845af-6da5-4633-ab70-15b85d18dc23,U3,48.27,Netflix,entertainment,"Tokyo, JP",2026-02-27T01:17:07
4e017249-b19a-416a-9053-2be3d8ce1e35,U1,367.54,MakeMyTrip,travel,"Los Angeles, CA",2026-02-27T01:17:12
1fcfd7c2-973b-4758-b9be-97ded063997e,U2,362.82,Binance,crypto,"New York, NY",2026-02-27T01:17:17
5ae94d68-806f-4aa3-b31e-9711e1d8a6a8,U1,216.95,Electricity Board,utilities,"New York, NY",2026-02-27T01:17:22
997b7314-f585-42d0-9b9f-14bc7ac8dc47,U3,186.71,PVR Cinemas,entertainment,"Tokyo, JP",2026-02-27T01:17:27
f13aa949-ed84-4934-9414-d6e99f6d8378,U3,2202.41,PVR Cinemas,entertainment,"New York, NY",2026-02-27T01:17:32
80678b73-8cda-4a75-b0ea-0c22a83c125b,U1,2663.81,Nike,shopping,"London, UK",2026-02-27T01:17:37
f6f03c39-5379-46d0-a150-30fde1e6f3e4,U3,53.25,MakeMyTrip,travel,"London, UK",2026-02-27T01:17:42
934d9bb5-ab56-4dd3-85a6-ec1a1a2efba0,U2,275.69,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:17:47
ffab0c35-5a3b-429b-930d-d95d5a08650e,U1,133.21,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:17:52
8ac452d8-4572-40a9-bd6f-a49a362ef8f2,U2,322.47,MakeMyTrip,travel,"Paris, FR",2026-02-27T01:17:57
821a5756-5470-49e1-94e1-738e45fff5ca,U1,361.69,Big Basket,groceries,"Los Angeles, CA",2026-02-27T01:18:02
4a33a940-4443-4f00-bf65-d2de07184484,U3,377.3,Netflix,entertainment,"Paris, FR",2026-02-27T01:18:07
58b0bfdf-6585-42e3-9274-08f2f91dfa49,U2,390.68,Netflix,entertainment,"New York, NY",2026-02-27T01:18:12
942e4921-5b40-4aaa-99ec-996fc64f057a,U2,402.45,Big Basket,groceries,"Paris, FR",2026-02-27T01:18:17
ee309234-8323-4e8a-9d2b-86220c49cc4c,U3,26.78,Electricity Board,utilities,"Tokyo, JP",2026-02-27T01:18:22
b3df208e-5485-434e-bdff-9cb2a5d781ad,U3,148.78,Electricity Board,utilities,"Los Angeles, CA",2026-02-27T01:18:28
e553e086-5500-44ce-9612-88d19677ebf6,U3,2422.52,Airtel,utilities,"London, UK",2026-02-27T01:18:33
f6d17a45-0ecd-40a0-a4b9-9fe36d14a0cc,U1,446.96,Airtel,utilities,"Tokyo, JP",2026-02-27T01:18:38
24cf1d14-9076-47b2-bb13-d37b45037352,U3,129.66,MakeMyTrip,travel,"Los Angeles, CA",2026-02-27T01:18:43
0c6a09f9-89ca-4b26-8d3d-8177f93b3bb6,U2,11.64,Uber,travel,"Los Angeles, CA",2026-02-27T01:18:48
afcd2486-17e9-4829-beaa-5813dd583442,U3,161.06,Nike,shopping,"Paris, FR",2026-02-27T01:18:53
3f267c9a-dc10-478d-b8a8-472a18681c30,U1,4003.21,Netflix,entertainment,"London, UK",2026-02-27T01:18:58
e2cfa7e7-6264-4f5a-bfbf-d72ed5a84102,U2,214.74,Big Basket,groceries,"Los Angeles, CA",2026-02-27T01:19:03
cbaade50-4a56-4ced-9fcb-f8dd9c0759c4,U3,436.98,Electricity Board,utilities,"Paris, FR",2026-02-27T01:19:08
ceab29cc-c433-4e35-89c5-fec8a75e0057,U1,360.68,Airtel,utilities,"Paris, FR",2026-02-27T01:19:13
7100f4c1-4e01-4cd6-b173-652e3a78c136,U3,226.27,Airtel,utilities,"New York, NY",2026-02-27T01:19:18
89867d12-1ec3-4e41-9341-e10c85099d26,U2,94.52,Nike,shopping,"Tokyo, JP",2026-02-27T01:19:23
548219a4-6bf3-4359-9644-b67b3a95278d,U3,495.12,PVR Cinemas,entertainment,"New York, NY",2026-02-27T01:19:28
15c9fb94-7475-42a9-95c4-281cd8bb8c15,U3,289.78,Electricity Board,utilities,"New York, NY",2026-02-27T01:19:33
9fbcae8b-4b29-4a0e-9bf3-7c3e2b9ce524,U3,336.62,Uber,travel,"New York, NY",2026-02-27T01:19:38
143a28d0-09f5-448e-9166-e45838892b69,U2,178.7,Binance,crypto,"London, UK",2026-02-27T01:19:43
4b9a4ec8-3588-4730-a028-f1285aaceb60,U1,418.27,Binance,crypto,"Paris, FR",2026-02-27T01:19:48
3ebac692-d058-4938-abe8-4e11a4c4999e,U2,388.12,Amazon,shopping,"Los Angeles, CA",2026-02-27T01:19:53
b10332e2-ccb6-452a-ac3f-6b067c0f66fa,U2,11.93,Big Basket,groceries,"Los Angeles, CA",2026-02-27T01:19:58
dc42bbdd-cb6f-4a32-8074-db7af507be69,U3,487.93,Nike,shopping,"Paris, FR",2026-02-27T01:20:03
462f77a2-ecba-4dba-adc2-58e8d49ed618,U1,161.43,PVR Cinemas,entertainment,"Los Angeles, CA",2026-02-27T01:20:08
475d0807-ca2d-415e-9d3c-3e69ee9dcdd2,U1,243.09,Electricity Board,utilities,"Tokyo, JP",2026-02-27T01:20:13
8c5ab93d-b0ce-459c-82d4-a98136eed6d6,U3,495.35,Uber,travel,"Tokyo, JP",2026-02-27T01:20:18
40c2a23b-4d93-4818-b7ee-76fe725c387d,U2,416.67,Uber,travel,"Paris, FR",2026-02-27T01:20:23
099c3580-13c3-4e8d-8c4b-f65cf460680c,U2,99.62,Electricity Board,utilities,"New York, NY",2026-02-27T01:20:28
a281ee61-63f4-4976-ac6c-7d72d752152d,U3,218.83,Amazon,shopping,"Tokyo, JP",2026-02-27T01:20:33
5566a138-037c-4e29-8ad4-55f7fef6e2be,U3,260.58,Netflix,entertainment,"New York, NY",2026-02-27T01:20:38
a200a64f-ceca-4506-b847-7fd274c2283d,U2,373.26,Electricity Board,utilities,"Paris, FR",2026-02-27T01:20:43
4671bd2c-ed47-4fa2-88f3-7a30592bf247,U1,113.12,PVR Cinemas,entertainment,"London, UK",2026-02-27T01:20:48
6d69421d-220a-4b39-8f44-c055d65c6db6,U1,314.47,PVR Cinemas,entertainment,"Tokyo, JP",2026-02-27T01:20:53
552c2739-7cb3-43fc-88c2-1a0c3e6fa521,U1,435.0,Binance,crypto,"Paris, FR",2026-02-27T01:20:58
b9072f95-acd1-435d-a0be-eafcab13c26f,U1,405.02,Big Basket,groceries,"London, UK",2026-02-27T01:21:03
4af5bf0c-c94d-4fd2-a0a8-1ed4776f6216,U2,165.33,Netflix,entertainment,"New York, NY",2026-02-27T01:21:08
be95b891-9abf-4553-9496-3e3590e966e8,U2,4754.62,Netflix,entertainment,"Tokyo, JP",2026-02-27T01:21:13
52db35ac-3d7d-44c8-9430-7c5a4807266c,U3,121.57,PVR Cinemas,entertainment,"Los Angeles, CA",2026-02-27T01:21:18
3fee52de-489f-4c88-8d90-f8a74759a345,U1,3546.76,Electricity Board,utilities,"New York, NY",2026-02-27T01:21:23
175e83be-08e2-4a5a-982a-1147b9062dd5,U1,114.99,Netflix,entertainment,"London, UK",2026-02-27T01:21:28
799ef2ac-6ca3-46a3-ab33-65e4e3be57ce,U1,8.17,Amazon,shopping,"Tokyo, JP",2026-02-27T01:21:33
d1073bff-ada7-4860-aeea-e74baca2513b,U3,15.96,Airtel,utilities,"London, UK",2026-02-27T01:21:38
6d06608a-3c1e-4be3-a741-8f5758c8d1b1,U3,477.54,Netflix,entertainment,"Tokyo, JP",2026-02-27T01:21:43
1073bcc8-ed6b-4c92-a02f-ffc49a0bf126,U2,433.55,Big Basket,groceries,"Los Angeles, CA",2026-02-27T01:21:48
1e4c8bbe-9dcc-4e68-86ce-e07e4edf5eda,U3,321.45,Electricity Board,utilities,"Los Angeles, CA",2026-02-27T01:21:53
f3c6f235-2817-4b13-869d-e3ad15987fb6,U3,420.67,PVR Cinemas,entertainment,"Los Angeles, CA",2026-02-27T01:21:58
faaef031-d01d-4652-9db7-49d246fc4a00,U3,429.86,Electricity Board,utilities,"New York, NY",2026-02-27T01:22:03
70921423-0a1f-46dc-b9ac-dc2b5209ceb1,U2,85.31,Airtel,utilities,"Paris, FR",2026-02-27T01:22:08
46b25979-7a29-44f6-9f29-80c8d1a5de6d,U2,256.02,Amazon,shopping,"London, UK",2026-02-27T01:22:13
a1b3d0c7-8d34-4507-9820-eb46adcc43df,U3,211.74,Electricity Board,utilities,"New York, NY",2026-02-27T01:22:18
